Latitude,Longitude
44.6649896,-63.5722183
44.6379171,-63.5851824
44.6536259,-63.5898884
44.665066,-63.609917
44.6531803,-63.628473
44.6204497,-63.6173172
44.6703803,-63.6612308
44.7177207,-63.6767627
44.7767326,-63.6781526
44.7811747,-63.7089592
44.8164605,-63.7663115
44.6877899,-63.5888318
44.6671434,-63.5687735
44.6850997,-63.5436823
44.6529903,-63.547406
44.6106803,-63.4730541
44.671872,-63.4842071
44.6965092,-63.4951068
44.6517939,-63.317803
44.6765078,-63.3990623
44.7345845,-63.3911886
44.7430378,-63.4653195
44.7422073,-63.2667073
44.7886016,-63.1423874
44.72142,-63.0767475
44.7790682,-63.0108569
44.9053596,-62.488411
44.9609184,-62.2241347
44.8090938,-62.6844031
44.8090938,-62.6844031
44.9116722,-62.3844422
44.8513407,-62.5376755
45.0261458,-63.3004502
44.9326284,-63.2419023
45.0467764,-63.1437605
45.1379738,-62.9494895
44.9826118,-63.4498737
44.7863593,-63.5991641
44.8511623,-63.6091351
44.8934885,-63.5890553
44.813697,-63.6158445
44.9206047,-63.3913307
44.8492787,-63.6848536
44.8492787,-63.6848536
44.6649896,-63.5722183
44.6379171,-63.5851824
44.6536259,-63.5898884
44.665066,-63.609917
44.6531803,-63.628473
44.6204497,-63.6173172
44.6703803,-63.6612308
44.7177207,-63.6767627
44.7767326,-63.6781526
44.7811747,-63.7089592
44.8164605,-63.7663115
44.6877899,-63.5888318
44.6671434,-63.5687735
44.6850997,-63.5436823
44.6529903,-63.547406
44.6106803,-63.4730541
44.671872,-63.4842071
44.6965092,-63.4951068
44.6517939,-63.317803
44.6765078,-63.3990623
44.7345845,-63.3911886
44.7430378,-63.4653195
44.7422073,-63.2667073
44.7886016,-63.1423874
44.72142,-63.0767475
44.7790682,-63.0108569
44.9053596,-62.488411
44.9609184,-62.2241347
44.8090938,-62.6844031
44.8090938,-62.6844031
44.9116722,-62.3844422
44.8513407,-62.5376755
45.0261458,-63.3004502
44.9326284,-63.2419023
45.0467764,-63.1437605
45.1379738,-62.9494895
44.9826118,-63.4498737
44.7863593,-63.5991641
44.8511623,-63.6091351
44.8934885,-63.5890553
44.813697,-63.6158445
44.9206047,-63.3913307
44.8492787,-63.6848536
44.8492787,-63.6848536
44.6649896,-63.5722183
44.6379171,-63.5851824
44.6536259,-63.5898884
44.665066,-63.609917
44.6531803,-63.628473
44.6204497,-63.6173172
44.6703803,-63.6612308
44.7177207,-63.6767627
44.7767326,-63.6781526
44.7811747,-63.7089592
44.8164605,-63.7663115
44.6877899,-63.5888318
44.6671434,-63.5687735
44.6850997,-63.5436823
44.6529903,-63.547406
44.6106803,-63.4730541
44.671872,-63.4842071
44.6965092,-63.4951068
44.6517939,-63.317803
44.6765078,-63.3990623
44.7345845,-63.3911886
44.7430378,-63.4653195
44.7422073,-63.2667073
44.7886016,-63.1423874
44.72142,-63.0767475
44.7790682,-63.0108569
44.9053596,-62.488411
44.9609184,-62.2241347
44.8090938,-62.6844031
44.8090938,-62.6844031
44.9116722,-62.3844422
44.8513407,-62.5376755
45.0261458,-63.3004502
44.9326284,-63.2419023
45.0467764,-63.1437605
45.1379738,-62.9494895
44.9826118,-63.4498737
44.7863593,-63.5991641
44.8511623,-63.6091351
44.8934885,-63.5890553
44.813697,-63.6158445
44.9206047,-63.3913307
44.8492787,-63.6848536
44.8492787,-63.6848536
44.6649896,-63.5722183
44.6379171,-63.5851824
44.6536259,-63.5898884
44.665066,-63.609917
44.6531803,-63.628473
44.6204497,-63.6173172
44.6703803,-63.6612308
44.7177207,-63.6767627
44.7767326,-63.6781526
44.7811747,-63.7089592
44.8164605,-63.7663115
44.6877899,-63.5888318
44.6671434,-63.5687735
44.6850997,-63.5436823
44.6529903,-63.547406
44.6106803,-63.4730541
44.671872,-63.4842071
44.6965092,-63.4951068
44.6517939,-63.317803
44.6765078,-63.3990623
44.7345845,-63.3911886
44.7430378,-63.4653195
44.7422073,-63.2667073
44.7886016,-63.1423874
44.72142,-63.0767475
44.7790682,-63.0108569
44.9053596,-62.488411
44.9609184,-62.2241347
44.8090938,-62.6844031
44.8090938,-62.6844031
44.9116722,-62.3844422
44.8513407,-62.5376755
45.0261458,-63.3004502
44.9326284,-63.2419023
45.0467764,-63.1437605
